0.033333,0,0.13333,0.26667,0.3,0.63333,1
0.36667,0.36667,0.46667,0.63333,0.96667,0.9,0.83333
0.033333,0.1,0.066667,0.36667,0.16667,0.6,1
0,0,0.033333,0.36667,0.43333,0.63333,0.66667
0.066667,0.033333,0.5,0.43333,0.73333,0.86667,0.8
0,0,0.6,0.7,0.4,0.56667,0.4
0.033333,0.066667,0.066667,0.23333,0.33333,0.96667,1
0,0,0.066667,0.2,0.23333,0.7,1
0.033333,0.066667,0.13333,0.4,0.7,0.83333,0.96667
0,0,0.13333,0.6,0.5,0.66667,0.56667
0,0,0.46667,0.66667,0.9,0.9,0.86667
0,0,0.033333,0.23333,0.23333,0.46667,1
