0.033333,0,0.033333,0.33333,0.33333,0.5,1
0.66667,0.5,0.63333,0.86667,0.86667,0.9,0.76667
0,0.1,0.1,0.73333,0.56667,0.33333,0.53333
0.033333,0.066667,0.3,0.76667,0.73333,0.8,0.6
0.1,0.16667,0.7,0.33333,0.86667,0.86667,0.83333
0.033333,0,0.83333,0.73333,0.5,0.16667,0.53333
0,0.033333,0.066667,0.2,0.36667,0.56667,0.93333
0.033333,0,0,0.13333,0.33333,0.76667,1
0,0.033333,0.13333,0.23333,0.7,1,1
0,0,0.2,0.56667,0.93333,0.76667,0.8
0,0.033333,0.1,0.3,0.46667,0.86667,0.26667
0,0,0,0.066667,0.23333,0.8,1
