"","V1"
"1",0.792248806918798
"2",0.374159629927578
"3",0.37991648549401
"4",0.634731126526351
"5",0.669029000702388
"6",-0.0572586032342028
"7",0.860523617221755
"8",0.789784448841386
"9",0.888998168888292
"10",0.797626602164568
"11",0.4250034082838
"12",0.736663141552932
