"","V1"
"1",0.902507364780729
"2",0.802567621747437
"3",0.909059448466551
"4",0.635923236884456
"5",0.164006228464296
"6",0.205388742023544
"7",0.729329588069766
"8",0.870800021805447
"9",0.864373436975336
"10",0.69294143371281
"11",0.811023586300837
"12",0.687288411319612
