"","V1"
"1",0.830487851237755
"2",0.76518335069415
"3",0.702258472482057
"4",0.910771404066375
"5",0.846747721693995
"6",0.21042233757286
"7",0.789346030688859
"8",0.795877008785205
"9",0.943736213729533
"10",0.745247437658815
"11",0.831648888806925
"12",0.744470937102626
